id,title,word2vec
7079,毒舌表哥,"[-0.023257184606821586,0.03694430079000691,0.00165377800197651,-0.0164779176004231,-0.02758328990700344]"
7077,如若有你，一生何求,"[-0.06243444561178601,0.07477997031961676,-0.03967346980907889,-0.000928627890209819,-0.04095079174785073]"
7061,饿狼缠身：老公，别过来,"[-0.07671581321606799,-0.008550648955311978,-0.027741117558863788,-0.04008677446300972,-0.03294811390762059]"
7060,她躲在云里不说话,"[-0.10508919044425993,-0.04217439699586425,0.021643570779512327,-0.036544943618178935,-0.03266366355996014]"
7058,萌宝快递：拐个妈咪送爹地,"[-0.06441213928868934,0.0012112395682682593,-0.03459244818308405,-0.04965534170402125,-0.0843718950581249]"
7057,至尊少年王,"[-0.049088945146650076,0.07902821416438029,-0.06571649239599907,0.014948714902070729,-0.01770312769489514]"
7055,娇妻高高在上,"[-0.09345024569359209,0.03001001295633614,-0.018359968837882792,-0.012415994278022221,-0.04324697767317827]"
7054,火影之死神之镰,"[-0.07304026479444777,0.16676732532990474,-0.0795021706726402,0.046377581757648535,-0.004609071998856962]"
7053,甜宠百分百：校草的萌萌未婚妻,"[-0.07159977029227922,0.03451262718637384,-0.026246436879098896,-0.028713239173802935,-0.0596269115264858]"
7052,邪帝绝宠：狂傲世子妃,"[-0.07634170514867321,0.08760764728849907,-0.08670589136204027,-0.00503041083756529,-0.07205938330668285]"
7051,"皇上滚开,本宫只劫财","[-0.05081216226839884,0.06917580582999758,-0.014473886821757664,-0.02902538796309261,-0.057681742136354575]"
7048,亡后归来,"[-0.039165098936173995,0.04330246669310584,-0.06164278896560646,-0.027922368527144054,-0.04763646896506818]"
7047,我的野蛮姐姐,"[-0.08563219074962294,-0.03428235970204696,-0.030561411927919835,-0.05337062148776437,-0.05345543690158852]"
7034,盛世隐婚：绝宠小娇妻,"[-0.02563609373148369,0.04754749969309331,0.003638015088179837,-0.05626530901434413,-0.06528867139865685]"
7033,狼胎入梦：养夫为患,"[-0.05259601474972442,0.03249646769836545,-0.04689568242368598,0.020154296226489045,-0.08025471772998571]"
7032,民调局异闻录之勉传,"[-0.05865447636118487,0.09145687500644914,-0.02325310541645569,-0.01640732602818924,-0.04541013032362303]"
7031,邪王霸宠：逆天六小姐,"[-0.06564138415430126,0.05553916467610618,-0.08396234992763092,-0.01160781078666834,-0.05256261320078167]"
7030,南有夫君不可休,"[-0.05893912564332258,0.021619182117786764,-0.026160821243113763,-0.0008357352751379556,-0.0125255547534687]"
7019,娇妻如芸,"[-0.06731254879074791,0.05445049091791495,-0.0316205048838105,0.023703249720617745,-0.023965819992530994]"
7017,武帝弑神,"[0.001220029260730371,0.017837684054393323,-0.007679344352800399,-0.017975442777969874,-0.013573572493623943]"
7016,唐朝小官人,"[-0.07523780253797989,0.053201914518414176,-0.018606044393142358,0.012218054158010465,-0.031043741085073528]"
7014,倾心之恋：总裁的妻子,"[-0.10491855325066109,-0.03685558442749194,-0.020995103036498288,-0.031063514603510388,-0.06669435942712337]"
7013,高冷男神住隔壁：错吻55次,"[-0.04395766189132912,0.030929572424729882,-0.06488027310241824,-0.04220803661028976,-0.034121505973482694]"
