title,link,author,wordNum,read,rec
神品大仙民,https://www.biquker.com/xiaoshuo/7179.html,虾兵蟹将,1444000字,4,"爹地们,太腹黑 每天都在缺功德 把反派养歪了肿么破 女神养成计划 远古伊甸 妖精的尾巴之精灵王 大内傲娇学生会 快穿反派：撩个男神黑化了！ 网游之邪龙逆天"
真武医圣,https://www.biquker.com/xiaoshuo/7174.html,唐百虎,2020000字,4,神龙医圣 巅峰强少在都市 超神至尊兵王 都市之纨绔天才 都市风流邪少 无双隐龙在都市 都市超神狼兵 我欲成王 至尊高手在都市
下堂夫人之凤逑凰,https://www.biquker.com/xiaoshuo/7171.html,云之苑,1418000字,2,凰途：绝代太子妃 沉年花惜落 下堂王妃不好惹 纨绔御灵师：废材大小姐 天才儿子腹黑娘亲 娇妻在上：霸道总裁超给力 许你万丈光芒好 夫人，夜深了 隐婚100分：惹火娇妻嫁一送一
极品辣妈好v5,https://www.biquker.com/xiaoshuo/7169.html,齐成琨,2142000字,5,雪鹰领主 大小姐的极品护卫 婚然心动：前妻再嫁我一次 凤动九天：废材杀手妃 都市兵皇 天诺狂兵 空间之田园悍妃 恶魔宝宝：冥王爹爹要疼娘 救个校花当老婆
我的极品老婆,https://www.biquker.com/xiaoshuo/7144.html,小二,4092000字,3,我的美女总裁老婆 都市之纨绔天才 都市风流邪少 无双隐龙在都市 我欲成王 大小姐的极品护卫 都市极品神医 金钱美人志 都市至尊神兵
掀翻时代的男人,https://www.biquker.com/xiaoshuo/7143.html,为情成痴,1416000字,2,我的姐姐是大明星 我的野蛮姐姐 我怀了反派的孩子 一人之下在漫威 白莲花不好当[娱乐圈] 无限存档宫斗系统 延禧攻略 宠妻总裁坏透了 我的世界只有你
神级采集术,https://www.biquker.com/xiaoshuo/7142.html,常世,976000字,4,重生之火影世界 巫师世界 命运逆时 很纯很暧昧 尸姐攻略 火影之恶魔法则 我在地狱中诞生 征战诸天世界 渣男洗白手册[快穿]
神脉至尊,https://www.biquker.com/xiaoshuo/7140.html,花落唯窈,3460000字,21,重生之全能巨星 南风过境 神道丹尊 萌妻入怀：傅少隐婚请低调 女总裁的全能兵王 网游之风流骑士 道神 修罗女帝：废材三小姐 穿越之绝色兽妃：凤逆天下
邪魅校草的极致奢宠：丫头吻我！,https://www.biquker.com/xiaoshuo/7139.html,白金金,1010000字,3,恶魔少爷别吻我 恶魔校草住隔壁 诱妻入怀：前夫，请温柔 丫头拽翻天：驯服恶魔冷校草 风流名将 名门盛婚 恶魔少爷太难缠 第二十八年春 前妻，别来无恙
新婚夜下温情,https://www.biquker.com/xiaoshuo/7136.html,月下魂销,284000字,2,错爱一生 人生交换游戏 林羽江颜 盖世枭雄 神一样的男人 重修仙帝 预谋爱情 情难自控：前夫请接招 影帝，你老婆又向你表白啦！
庆余年,https://www.biquker.com/xiaoshuo/7134.html,猫腻,1508000字,2,夜帝独宠：天才萌宝俏娘亲 千山记 夺君天下 宋时归 医妃权谋天下 霸道人生 非凡人生 康熙大帝--惊风密雨 天眼人生
凶神再临洛庭轩方可儿,https://www.biquker.com/xiaoshuo/7133.html,银眸沙皇,138000字,2,无双隐龙在都市 都市之仙尊归来 都市风流邪少 都市之纨绔天才 都市逍遥强兵 都市超神狼兵 特级强兵 都市至尊神兵 火爆强兵闯都市
纨绔世子妃,https://www.biquker.com/xiaoshuo/7132.html,西子情,1024000字,2,重生之女神养成计划 嫡女重生：凤霸天下 异界纨绔公子 嫁纨绔 重生嫡女：风华倾天下 重生复仇：腹黑嫡女 都市之纨绔天才 除了我，所有人都重生了 帝宠之惊世凰妃
特种兵王闯都市,https://www.biquker.com/xiaoshuo/7129.html,天空,674000字,2,神勇铁男儿 10088 超级兵王 无双隐龙在都市 都市兵皇 绝世狂兵在都市 都市至尊神兵 逍遥狂兵都市游 玄奇天眼
帝少的神秘丑妻,https://www.biquker.com/xiaoshuo/7128.html,有点甜,2392000字,2,安小暖夜溟爵 我的绝色总裁夫人 娇妻在上：霸道总裁超给力 神秘帝少甜宠妻 总裁秘恋小娇娘 骗婚总裁：独宠小娇妻 许你万丈光芒好 隐婚100分：惹火娇妻嫁一送一 闪婚蜜爱：霸道总裁蜜宠妻
婚妻已定,https://www.biquker.com/xiaoshuo/7127.html,烟十一,192000字,2,限量的你 不落相思意 段如兰钟明巍 名门娇宠 婚婚来迟：冷少，你宝贝掉了 一寸相思一寸灰 冷王在上：弃妃要翻身 难觅清欢 若是分离，不如不遇
重生暖婚：甜妻，新上线,https://www.biquker.com/xiaoshuo/7123.html,青青谁笑,2972000字,2,重生嫡女：风华倾天下 重生之女神养成计划 狂追失忆妻 嫡女重生：凤霸天下 隐婚100分：重生甜妻狠撩人！ 重生校园：帝王娇妻暖暖爱 重生专宠：摄政王的毒妃 重生九零年之虐渣攻略 重生空间之八零幸福生活
一胎三宝：总裁大人请关门！,https://www.biquker.com/xiaoshuo/7120.html,灼年,426000字,3,帝少的替身新娘 总裁的隐婚前妻 恶魔的独宠甜妻 顾少的强势宠爱 亿万总裁的隐婚妻 兰馨雷霆宇 爱你如此不堪 欢情不是两三天 猎妻计划：老婆，复婚吧！
秦飞扬唐沁雪,https://www.biquker.com/xiaoshuo/7119.html,束山有草,1798000字,2,秦飞扬唐沁雪 绝代战兵 神品医少 都市风流邪少 都市之纨绔天才 无双隐龙在都市 我欲成王 最强狂兵在都市 都市至尊神兵
她比草莓还可爱,https://www.biquker.com/xiaoshuo/7118.html,顾以钦,130000字,2,快穿反派：撩个男神黑化了！ 良仙难求 青梅甜甜哒：竹马哥哥宠上瘾 醒来觉得甚是爱你 贺少的闪婚暖妻 七月向北 总有一天，你会喜欢我 变身绝色女神 亿万首席深深爱
邪皇抢婚：第一杀手狂妃,https://www.biquker.com/xiaoshuo/7117.html,北夜,5084000字,2,凤动九天：废材杀手妃 盛世狂妃：废材逆天四小姐 鬼帝宠妻，废材大小姐 凤傲九天：废柴小姐太嚣张 猪惑天下：邪皇的倾城懒后 凤逆天下：穿越之绝色兽妃 穿越之绝色兽妃：凤逆天下 狂妻万万岁：腹黑邪君逆天妃 邪王追妻：废柴小兽妃
武神劫,https://www.biquker.com/xiaoshuo/7115.html,难忘今宵,338000字,6,天地霸气诀 异界邪君 天策神王 网游之天谴修罗 万界神帝 武道巅峰 吞天武神 绝世武神 征战诸天世界
替嫁王妃,https://www.biquker.com/xiaoshuo/7114.html,丫左左,198000字,5,邪王绝宠：医品特工妃 我家王爷很傲娇 盛世红颜：弃妃傲天下 一咬定情：异能萌妃，抱一抱 凤还朝，妖孽王爷请让道 不良王妃：让爷贱笑了 穿越乱世医女 神医毒妃太嚣张 贪财王妃：夫君是个暖宝宝
最强龙婿,https://www.biquker.com/xiaoshuo/7113.html,束山有草,1798000字,2,秦飞扬唐沁雪 绝代战兵 神品医少 都市风流邪少 都市之纨绔天才 无双隐龙在都市 我欲成王 最强狂兵在都市 都市至尊神兵
剑临天下,https://www.biquker.com/xiaoshuo/7112.html,天蓝色月,2578000字,3,傲世九重天 一剑飞仙 剑定玄黄 剑傲重生 武动乾坤 仙傲 龙血剑神 混元剑帝 夺君天下
风月不知我心意,https://www.biquker.com/xiaoshuo/7104.html,雪天吃雪糕,1056000字,2,国民老公带回家 帝少的替身新娘 我爱你我有罪 名门盛婚 风流名将 有姝 婚情几许：前夫，请自重 天价萌宝：总裁爹地送上门 温柔妻子的伤心事
修罗战神,https://www.biquker.com/xiaoshuo/7093.html,善良的蜜蜂,1948000字,2,重生之风云录 重生之女神养成计划 嫡女重生：凤霸天下 重生专宠：摄政王的毒妃 重生嫡女：风华倾天下 校园重生：最强女特工 重生三千年 重生之超级太子爷 重生复仇：腹黑嫡女
错娶毒妃，王爷认栽吧,https://www.biquker.com/xiaoshuo/7091.html,折音,462000字,3,穿越农女发家记 一品村姑+番外 萌宠兽世：兽夫，么么哒！ 盛世狂妃：废材逆天四小姐 邪王追妻：废柴小兽妃 农门厨娘：相公在下，我在上 穿越之锦绣田园 穿越者吹水群 废材大小姐，邪君请让道！
先婚后爱：老公很凶猛,https://www.biquker.com/xiaoshuo/7090.html,冬眠,822000字,3,溺爱鲜妻：隐婚老公放肆宠 狂追失忆妻 总裁秘恋小娇娘 骗婚总裁：独宠小娇妻 苏念陆经年 错爱一生 我可能不会爱你 薄酒温情殇 闪婚甜妻，总裁大人难伺候！
崩原乱,https://www.biquker.com/xiaoshuo/7089.html,四下里,680000字,2,"倾尽天下之乱世繁华 夺君天下 每天都在缺功德 爹地们,太腹黑 济世医途 傲剑天下 把反派养歪了肿么破 女神养成计划 远古伊甸"
无上升级系统,https://www.biquker.com/xiaoshuo/7088.html,夜不醉,3028000字,3,我是系统之女帝养成计划 快穿系统之女配上位记 超级吞噬系统 最强外挂系统 女帝直播攻略 最强修炼系统 天策神王 系统小农女：夫君，劫个色 快穿系统：炮灰女配要翻身
凤姝京华,https://www.biquker.com/xiaoshuo/7086.html,花花弄雨,864000字,2,重生暖婚：甜妻，新上线 重生专宠：摄政王的毒妃 鬼手神医：倾城王妃 重生为凤：癫狂王爷哪里逃 重生之百花影后 甜妻撩人：老公大人，吻不停！ 重生之名门影后 重生校园：帝王娇妻暖暖爱 重生之神医皇后
重生之侯府良女,https://www.biquker.com/xiaoshuo/7084.html,福多多,668000字,2,嫡女重生：凤霸天下 重生嫡女：风华倾天下 重生之女神养成计划 重生复仇：腹黑嫡女 重生之超级太子爷 嫡女重生之凰倾天下 重生校园：帝王娇妻暖暖爱 重生专宠：摄政王的毒妃 校园重生：最强女特工
武弑归墟,https://www.biquker.com/xiaoshuo/7080.html,小贩子,214000字,2,凡人修仙传 巫师世界 顾少宠妻成瘾 傲世无双：绝色炼丹师 征战诸天世界 极品炼丹师 10508 绝世丹神 最强修炼系统
毒舌表哥,https://www.biquker.com/xiaoshuo/7079.html,椰梨小姐,130000字,2,天阙云歌 重生专宠：摄政王的毒妃 重生为凤：癫狂王爷哪里逃 名门盛婚 风流名将 重生之女神养成计划 重生之百花影后 重生暖婚：甜妻，新上线 鬼手神医：倾城王妃
如若有你，一生何求,https://www.biquker.com/xiaoshuo/7077.html,锦竹,284000字,2,请以爱渡平生 我原来是个神经病 一生所幸遇见你 仙级保镖 风流名将 名门盛婚 枕上豪门：腹黑老公坏坏爱 从仙界归来的厨神 前妻，别来无恙
饿狼缠身：老公，别过来,https://www.biquker.com/xiaoshuo/7061.html,饭掌柜,3142000字,5,禁欲系男神 老公，这次来真的 凤吟霜君墨尘 一宠成瘾：娇妻无处逃 夜夜缠欢：老公，不要了！ 溺爱鲜妻：隐婚老公放肆宠 我是美人鱼：老公，你别闹！ 风流名将 名门盛婚
她躲在云里不说话,https://www.biquker.com/xiaoshuo/7060.html,君子阿郭,118000字,3,醒来觉得甚是爱你 风流名将 名门盛婚 春风不及你深情 前妻，别来无恙 这次来真的 不落相思意 第二十八年春 总裁夜敲门：萌妻哪里逃
萌宝快递：拐个妈咪送爹地,https://www.biquker.com/xiaoshuo/7058.html,密云不雨,4410000字,87,婚然心动：前妻再嫁我一次 总裁爹地不好惹 代孕成婚 宠爱无限：总裁的爱妻萌宝 隐婚100分：神秘老公不见面 首席萌宝买一送一 薄酒温情殇 弃妃逍遥：带着包子去种田 豪门闪婚试爱
至尊少年王,https://www.biquker.com/xiaoshuo/7057.html,飞舞激扬,5192000字,17,至尊狂魔 至尊龙神系统 凡人修仙传 剑灵 神剑天骄 至尊神王 混沌雷帝传 至尊高手在都市 至尊丹王
娇妻高高在上,https://www.biquker.com/xiaoshuo/7055.html,唐渐浓,4790000字,6,鬼帝宠妻，废材大小姐 亿万爹地天价宠 娇妻难宠：老公，我要退货 我可能不会爱你 夜夜缠情：霸道帝少惹不起 史前养夫记 天价萌妻请关照 靳少强宠小逃妻 骗婚总裁：独宠小娇妻
